topic,questionText,correctAnswer
 Spring Security , What is CSRF protection in Spring Security? ,"Authn/Authz; filter chain; JWT/OAuth2; CSRF; PasswordEncoder; @PreAuthorize | keywords: protection spring, csrf protection, protection, csrf"
 Spring Security , How do you disable CSRF in Spring Security? ,"Authn/Authz; filter chain; JWT/OAuth2; CSRF; PasswordEncoder; @PreAuthorize | keywords: disable csrf, csrf spring, disable, csrf"
 Spring Security , What is the difference between @PreAuthorize and @Secured annotations? ,"Authn/Authz; filter chain; JWT/OAuth2; CSRF; PasswordEncoder; @PreAuthorize | keywords: secured annotations, preauthorize, preauthorize secured, annotations"
 Spring Security , How do you store passwords securely in Spring Boot apps? ,"Authn/Authz; filter chain; JWT/OAuth2; CSRF; PasswordEncoder; @PreAuthorize | keywords: store passwords, boot apps, securely, passwords securely"
 Spring Security , How do you integrate Spring Security with LDAP/Active Directory? ,"Authn/Authz; filter chain; JWT/OAuth2; CSRF; PasswordEncoder; @PreAuthorize | keywords: ldap active, active directory, directory, security ldap"
 Spring Cloud , What is Spring Cloud and how does it relate to microservices? ,"Eureka; Config Server; Gateway; Circuit Breaker; Sleuth/Zipkin; centralized config | keywords: does relate, relate, relate microservices, cloud does"
 Spring Cloud , What is Netflix Eureka? ,"Eureka; Config Server; Gateway; Circuit Breaker; Sleuth/Zipkin; centralized config | keywords: eureka, netflix eureka, netflix, does differ"
 Spring Cloud , What is Spring Cloud Config Server? ,"Eureka; Config Server; Gateway; Circuit Breaker; Sleuth/Zipkin; centralized config | keywords: config server, cloud config, config, server"
 Spring Cloud , What is Circuit Breaker in Spring Cloud? ,"Eureka; Config Server; Gateway; Circuit Breaker; Sleuth/Zipkin; centralized config | keywords: breaker spring, circuit breaker, breaker, circuit"
 Spring Cloud , What is Hystrix in Spring Cloud? ,"Eureka; Config Server; Gateway; Circuit Breaker; Sleuth/Zipkin; centralized config | keywords: hystrix spring, hystrix, spring cloud, cloud"
 Spring Cloud , What is Spring Cloud Gateway? ,"Eureka; Config Server; Gateway; Circuit Breaker; Sleuth/Zipkin; centralized config | keywords: cloud gateway, gateway, spring cloud, cloud"
 Spring Cloud , How do you implement distributed tracing in Spring Cloud? ,"Eureka; Config Server; Gateway; Circuit Breaker; Sleuth/Zipkin; centralized config | keywords: implement distributed, tracing spring, distributed tracing, tracing"
 Microservices , What is the API Gateway pattern? ,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: gateway pattern, api gateway, gateway, pattern"
 Microservices , What is Service Discovery and how does it work? ,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: discovery does, does work, service discovery, discovery"
 Microservices , What is the difference between synchronous and asynchronous communication? ,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: asynchronous communication, synchronous asynchronous, difference synchronous, synchronous"
 Microservices , What is the Saga pattern and how is it used? ,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: pattern used, saga pattern, saga, used"
 Microservices , What is the Event Sourcing pattern? ,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: sourcing, sourcing pattern, event sourcing, event"
 Microservices , What is the CQRS pattern? ,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: cqrs, cqrs pattern, pattern, zuul spring"
 Microservices , What is eventual consistency and why is it important? ,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: consistency important, eventual consistency, eventual, consistency"
 Microservices , What are idempotent operations in microservices? ,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: idempotent operations, operations microservices, operations, idempotent"
 Microservices , What are distributed transactions? ,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: distributed transactions, transactions, distributed, zuul spring"
 Microservices , What is a sidecar pattern? ,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: sidecar pattern, sidecar, pattern, zuul spring"
 Microservices , What are the advantages of microservices over monoliths? ,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: advantages microservices, monoliths, microservices monoliths, advantages"
 Microservices , What are the drawbacks of microservices? ,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: drawbacks microservices, drawbacks, microservices, zuul spring"
 Microservices , How do you deploy microservices in containers? ,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: microservices containers, deploy microservices, containers, deploy"
 Microservices , How do you monitor microservices? ,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: monitor microservices, monitor, microservices, does entity"
 Microservices , How do you handle logging in microservices? ,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: handle logging, logging microservices, logging, handle"
 Microservices , How do you secure microservices communication? ,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: secure microservices, microservices communication, communication, secure"
 Microservices , What is API versioning in microservices? ,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: versioning microservices, api versioning, versioning, api"
System Design,What is Scalability and how do you design systems that grow with user demand?,"Scale: LB, cache, DB shard; consistency; queues; rate limit; SLOs; observability | keywords: grow user, design systems, grow, systems grow"
System Design,What is Load Balancing and how does it prevent overload?,"Scale: LB, cache, DB shard; consistency; queues; rate limit; SLOs; observability | keywords: balancing does, prevent overload, does prevent, overload"
System Design,What is Caching and why is it important in system design?,"Scale: LB, cache, DB shard; consistency; queues; rate limit; SLOs; observability | keywords: important design, caching important, important, caching"
System Design,What is Data Modeling and why should it be done before selecting a database?,"Scale: LB, cache, DB shard; consistency; queues; rate limit; SLOs; observability | keywords: data modeling, modeling, selecting database, selecting"
System Design,What is Database Sharding and when should you use it?,"Scale: LB, cache, DB shard; consistency; queues; rate limit; SLOs; observability | keywords: sharding use, database sharding, sharding, database"
System Design,What is Partitioning in databases?,"Scale: LB, cache, DB shard; consistency; queues; rate limit; SLOs; observability | keywords: partitioning databases, partitioning, databases, does entity"
System Design,What is Replication and how does it improve fault tolerance?,"Scale: LB, cache, DB shard; consistency; queues; rate limit; SLOs; observability | keywords: replication does, does improve, improve fault, improve"
System Design,What is the CAP Theorem?,"Scale: LB, cache, DB shard; consistency; queues; rate limit; SLOs; observability | keywords: cap, cap theorem, theorem, zuul spring"
System Design,What is Eventual Consistency?,"Scale: LB, cache, DB shard; consistency; queues; rate limit; SLOs; observability | keywords: eventual consistency, eventual, consistency, zuul spring"
Messaging,What are Message Queues and why are they important in distributed systems?,"Kafka topics/partitions; consumer groups; offsets; DLQ; idempotency; exactly?once | keywords: message queues, important distributed, queues important, queues"
API & Web,What is an API Gateway and what is its role?,"REST verbs; idempotency; 2xx/4xx/5xx; resources; HATEOAS; pagination; versioning | keywords: gateway role, api gateway, gateway, role"
API & Web,What are WebSockets and when do you use them?,"REST verbs; idempotency; 2xx/4xx/5xx; resources; HATEOAS; pagination; versioning | keywords: websockets use, websockets, use, does content"
Microservices,What is Service Discovery in microservices?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: discovery microservices, service discovery, discovery, service"
API & Web,What is Rate Limiting and why is it important?,"REST verbs; idempotency; 2xx/4xx/5xx; resources; HATEOAS; pagination; versioning | keywords: limiting important, limiting, rate limiting, important"
System Design,What is Fault Tolerance?,"Scale: LB, cache, DB shard; consistency; queues; rate limit; SLOs; observability | keywords: fault tolerance, tolerance, fault, zuul spring"
DevOps,Why is Monitoring essential in large-scale systems?,"CI/CD; Docker; IaC; monitoring; blue/green; canary; rollback | keywords: scale systems, essential large, monitoring essential, large"
Cloud (CDN),What are CDNs and how do they speed up applications?,"keywords: speed applications, speed, cdns, cdns speed"
Security,"What are Authentication and Authorization, and how do they differ?","OWASP; hashing+salt; TLS; RBAC/ABAC; token/refresh; CSP | keywords: authorization differ, authentication authorization, differ, authorization"
System Design,What is Consistent Hashing and why is it useful in distributed systems?,"Scale: LB, cache, DB shard; consistency; queues; rate limit; SLOs; observability | keywords: hashing useful, useful distributed, consistent, consistent hashing"
Java (Concurrency),What is a Daemon Thread in Java?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: daemon thread, daemon, thread java, thread"
Java (Concurrency),How do you create a Daemon Thread?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: create daemon, daemon thread, daemon, create"
Java (Streams),Find the duplicate elements in a list using Java Streams.,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: elements list, using java, duplicate, list using"
Java (Concurrency),What is Synchronization in Java?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: synchronization java, synchronization, java, zuul spring"
Java (Concurrency),"What are the differences between synchronized methods, blocks, and static synchronization?","OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: synchronized methods, methods blocks, differences synchronized, static synchronization"
Java,What is Static Import in Java?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: static import, import java, import, static"
Java (Memory Management),What is the difference between Heap and Stack memory?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: heap stack, difference heap, stack memory, heap"
Java (Memory Management),What is the role of the Garbage Collector?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: role garbage, garbage collector, collector, garbage"
Software Design (SOLID),Explain SRP (Single Responsibility Principle) with an example.,"keywords: principle example, explain srp, srp, srp single"
Java,What is the Transient keyword in Java?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: transient, transient keyword, keyword java, keyword"
Java (Concurrency),How do you create a thread in Java?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: create thread, thread java, create, thread"
Java (Concurrency),What is the return type of the run() method in Java threads?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: run method, type run, return type, return"
Java (Concurrency),Explain the Callable interface and how it differs from Runnable.,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: interface differs, differs, differs runnable, callable interface"
API & Web,How would you call an API from another microservice?,"REST verbs; idempotency; 2xx/4xx/5xx; resources; HATEOAS; pagination; versioning | keywords: api microservice, microservice, api, does executorservice"
Security,"What is a Security Context, and how is it used in APIs?","OWASP; hashing+salt; TLS; RBAC/ABAC; token/refresh; CSP | keywords: context used, used apis, security context, context"
API & Web / Error Handling,How do you handle errors in API communication?,"Map exceptions?HTTP; retry/backoff; idempotent retries; correlation?id; DLQ | keywords: errors api, handle errors, api communication, errors"
SQL,What are Window Functions in SQL?,"Joins; indexes; transactions; ACID; window functions; EXPLAIN | keywords: window functions, window, functions sql, functions"
SQL,What is the difference between DELETE and TRUNCATE?,"Joins; indexes; transactions; ACID; window functions; EXPLAIN | keywords: delete truncate, difference delete, truncate, delete"
SQL,What is the difference between RANK() and DENSE_RANK()?,"Joins; indexes; transactions; ACID; window functions; EXPLAIN | keywords: difference rank, dense_rank, rank, rank dense_rank"
SQL,What is the difference between HAVING and WHERE clause?,"Joins; indexes; transactions; ACID; window functions; EXPLAIN | keywords: difference having, clause, having, having clause"
SQL,What is OFFSET in SQL queries?,"Joins; indexes; transactions; ACID; window functions; EXPLAIN | keywords: offset sql, offset, sql queries, queries"
Java (Coding),Write a program to reverse a String.,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: reverse string, program reverse, reverse, string"
Java (Coding),Write a program to detect a cycle in a Linked List.,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: detect cycle, cycle linked, program detect, cycle"
Java,What is Inheritance in Java?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: inheritance java, inheritance, java, zuul spring"
Java,What is the difference between Abstract Class and Interface?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: difference abstract, class interface, abstract class, abstract"
Java (Error Handling),What is a NullPointerException in Java?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: nullpointerexception, nullpointerexception java, java, zuul spring"
Java,What is the difference between Method Overloading and Method Overriding?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: method, difference method, method overriding, method overloading"
Spring Boot,What is the difference between Spring and Spring Boot?,"Auto?config; starters; profiles; Actuator; @RestController; @Configuration/@Bean | keywords: spring, difference spring, spring spring, boot"
Java (Collections),What is the difference between List and Set?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: difference list, list set, set, list"
Java (Error Handling),How can you handle exceptions in Java?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: exceptions java, handle exceptions, exceptions, handle"
API & Web,What is a REST API?,"REST verbs; idempotency; 2xx/4xx/5xx; resources; HATEOAS; pagination; versioning | keywords: rest api, rest, api, does java"
Microservices,What is a Microservices architecture?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: microservices architecture, architecture, microservices, does hashset"
Java (Collections),What is a Collection in Java?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: collection java, collection, java, does spring"
Java (Streams),What are Java Streams?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: java streams, streams, java, zuul spring"
Java (Java 8),What is a Lambda Expression?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: lambda expression, expression, lambda, zuul spring"
Security,What is Token Authentication?,"OWASP; hashing+salt; TLS; RBAC/ABAC; token/refresh; CSP | keywords: token authentication, token, authentication, zuul spring"
Project Management,What is Agile Methodology?,"keywords: methodology, agile methodology, agile, zuul spring"
API & Web,What are HTTP methods and how are they used?,"REST verbs; idempotency; 2xx/4xx/5xx; resources; HATEOAS; pagination; versioning | keywords: methods used, http methods, used, methods"
Java (Collections),What is the difference between ArrayList and LinkedList?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: arraylist, arraylist linkedlist, difference arraylist, linkedlist"
Spring Boot,What is Dependency Injection in Spring?,"Auto?config; starters; profiles; Actuator; @RestController; @Configuration/@Bean | keywords: injection spring, dependency injection, injection, dependency"
Database,What are two database connection properties used in application.properties?,"Normalization; denorm; sharding; replication; CAP; connection pools | keywords: properties, connection properties, properties used, used application"
Java (Collections),Explain the internal working of HashMap.,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: explain internal, working, working hashmap, internal working"
SQL,"Write a SQL query to find the 2nd highest salary (id, name, salary).","Joins; indexes; transactions; ACID; window functions; EXPLAIN | keywords: salary, salary id, sql query, query 2nd"
Java,"What is the difference between JDK, JRE, and JVM?","OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: difference jdk, jre, jre jvm, jdk jre"
Java,How does Java achieve platform independence?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: independence, java achieve, achieve platform, platform independence"
Java (Error Handling),What are checked and unchecked exceptions? Give examples.,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: exceptions examples, examples, unchecked exceptions, unchecked"
Java,"What is the difference between String, StringBuilder, and StringBuffer?","OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: stringbuffer, stringbuilder stringbuffer, difference string, stringbuilder"
Java,"What is the difference between final, finally, and finalize()?","OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: finally, finally finalize, final finally, difference final"
Java (Memory Management),Explain the concept of Garbage Collection in Java.,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: explain concept, concept, concept garbage, garbage collection"
Java (Collections),What is ConcurrentHashMap and how is it different from HashMap?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: concurrenthashmap different, different hashmap, concurrenthashmap, hashmap"
Java (Concurrency),Explain thread lifecycle in Java.,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: thread lifecycle, explain thread, lifecycle java, lifecycle"
Java (Concurrency),How do you create a thread in Java? Difference between extending Thread and implementing Runnable?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: thread, java difference, extending, difference extending"
Java (Concurrency),What is the use of the volatile keyword in multithreading?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: multithreading, keyword multithreading, volatile keyword, use volatile"
API & Web,What is the difference between REST and SOAP web services?,"REST verbs; idempotency; 2xx/4xx/5xx; resources; HATEOAS; pagination; versioning | keywords: web services, soap web, rest soap, soap"
Spring Boot,How does Spring Dependency Injection work?,"Auto?config; starters; profiles; Actuator; @RestController; @Configuration/@Bean | keywords: spring dependency, injection work, does spring, dependency injection"
Spring Boot,What are Spring Boot starters?,"Auto?config; starters; profiles; Actuator; @RestController; @Configuration/@Bean | keywords: starters, boot starters, boot, spring boot"
Spring Boot,"Explain @Component, @Service, and @Repository annotations.","Auto?config; starters; profiles; Actuator; @RestController; @Configuration/@Bean | keywords: explain component, repository annotations, annotations, service repository"
Spring Boot / Database,How do you handle transactions in Spring Boot?,"keywords: handle transactions, transactions spring, transactions, handle"
DevOps,Explain CI/CD pipeline – how did you implement it?,"CI/CD; Docker; IaC; monitoring; blue/green; canary; rollback | keywords: pipeline did, explain ci, did implement, cd pipeline"
Cloud (Kubernetes),What is Kubernetes and how is it different from Docker?,"keywords: kubernetes different, different docker, different, docker"
Security,How do you secure REST APIs in Spring Boot?,"OWASP; hashing+salt; TLS; RBAC/ABAC; token/refresh; CSP | keywords: apis spring, secure rest, rest apis, secure"
Software Design,What are the SOLID principles in Java?,"keywords: principles java, solid principles, principles, solid"
Test Automation (SDET),How would you iterate through HTML table rows to find a product and click its button using Selenium?,"JUnit/TestNG; Mockito; Selenium; POM; coverage; CI integration | keywords: iterate, selenium, iterate html, rows"
Test Automation,How would you handle dynamic pagination in automation?,"JUnit/TestNG; Mockito; Selenium; POM; coverage; CI integration | keywords: pagination automation, dynamic pagination, handle dynamic, pagination"
Java,"Difference between local, instance, and static variables in Java?","OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: local instance, difference local, static variables, instance static"
Java,Why did you use String instead of char[] in your automation test?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: did use, instead, char automation, automation test"
Microservices,How do you maintain backward compatibility in evolving APIs?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: evolving, maintain backward, maintain, compatibility evolving"
Microservices,What is Semantic Versioning (MAJOR.MINOR.PATCH)?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: minor, versioning major, semantic versioning, major"
Microservices,What is the difference between URL-based and header-based API versioning?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: based, url based, header based, based header"
Microservices,What is a Deprecation Policy for APIs?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: policy apis, deprecation policy, deprecation, policy"
Microservices,How do you use feature flags to roll out new features?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: feature flags, flags roll, roll new, roll"
Microservices,How do API gateways help in versioning and routing?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: gateways, help versioning, gateways help, versioning routing"
Database / Troubleshooting,Your application queries are timing out — how do you debug this?,"keywords: application queries, queries timing, timing debug, timing"
Database,How do you check connection pool settings and active connections?,"Normalization; denorm; sharding; replication; CAP; connection pools | keywords: settings active, settings, active connections, pool settings"
SQL,How do you identify slow queries and missing indexes?,"Joins; indexes; transactions; ACID; window functions; EXPLAIN | keywords: missing indexes, identify slow, queries missing, slow queries"
Database,How do you monitor lock contention or deadlocks?,"Normalization; denorm; sharding; replication; CAP; connection pools | keywords: lock contention, contention deadlocks, contention, monitor lock"
OOP,What are the 4 pillars of OOP?,"keywords: pillars, pillars oop, oop, does improve"
Java (OOP),Difference between Class and Object with example.,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: difference class, object example, class object, object"
Java (OOP),What is a Constructor? Explain default vs parameterized constructor.,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: constructor, parameterized, default vs, vs parameterized"
Java (OOP),Can a constructor be overloaded? Can it be overridden?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: overloaded, constructor overloaded, overridden, overloaded overridden"
Java (OOP),What is Encapsulation? Show an example with getters & setters.,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: setters, example getters, getters setters, getters"
Java (OOP),Difference between Encapsulation and Abstraction.,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: encapsulation abstraction, difference encapsulation, abstraction, encapsulation"
Java (OOP),What is Inheritance? What are the different types?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: inheritance different, different types, types, inheritance"
Java (OOP),Difference between IS-A and HAS-A relationship?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: difference relationship, relationship, difference, does java"
Java (OOP),What is Polymorphism? Explain compile-time vs runtime with code.,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: explain compile, vs runtime, polymorphism explain, compile time"
Java (OOP),Difference between Method Overloading and Method Overriding.,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: method, difference method, method overriding, method overloading"
Java (OOP),Difference between Abstract Class and Interface.,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: difference abstract, class interface, abstract class, abstract"
Java (OOP),Can an interface have default and static methods? Why were they introduced in Java 8?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: interface default, methods introduced, default static, introduced java"
Java,Difference between this and super keywords in Java.,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: keywords java, super keywords, keywords, difference super"
Java,Can we override static methods in Java? Why or why not?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: override, override static, methods java, static methods"
Java,What is method hiding in Java and how is it different from overriding?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: java different, different overriding, hiding java, hiding"
Java,"What is the final keyword in Java (final variable, method, class)?","OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: final, method class, variable method, final variable"
Java,"Difference between instance variable, class variable, and local variable.","OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: variable, difference instance, variable local, variable class"
Java,What are inner classes and anonymous inner classes?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: inner classes, inner, classes, classes anonymous"
Java,What is the role of the Object class in Java?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: role object, class java, object class, object"
Java,Why is multiple inheritance not supported with classes but allowed with interfaces?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: supported, allowed, supported classes, inheritance supported"
Java,How does HashMap work internally?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: hashmap work, does hashmap, work internally, internally"
Java (Memory Management),What are Memory Leaks in Java? How do you prevent them?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: java prevent, leaks java, memory leaks, leaks"
Java,What is the difference between ClassNotFoundException and NoClassDefFoundError?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: classnotfoundexception noclassdeffounderror, noclassdeffounderror, difference classnotfoundexception, classnotfoundexception"
Java (Collections),What is a Fail-Fast Iterator?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: iterator, fast iterator, fail, fast"
Java (Concurrency),What is the Executor Framework in Java?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: executor, executor framework, framework java, framework"
Java (Concurrency),How do you use Optional in Java 8?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: use optional, optional java, optional, use"
Java (Design Patterns),What is a Singleton Class?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: singleton class, singleton, class, zuul spring"
Java (Design Patterns),Explain the Prototype Design Pattern.,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: prototype design, explain prototype, prototype, design pattern"
Java (New Features),What are Sealed Classes (Java 15+)?,"OOP pillars; exceptions; GC; String vs StringBuilder; keywords final/this | keywords: java 15, sealed classes, sealed"
Microservices,What is centralized configuration in microservices?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: configuration microservices, centralized configuration, centralized, configuration"
Microservices,What is distributed tracing?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: distributed tracing, tracing, distributed, zuul spring"
Microservices,"What tools are used for distributed tracing? (Zipkin, Sleuth, Jaeger)","API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: zipkin sleuth, sleuth jaeger, tracing zipkin, jaeger"
Microservices,How do you ensure resilience in microservices?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: resilience microservices, ensure resilience, resilience, ensure"
Microservices,What is the difference between orchestration and choreography?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: difference orchestration, orchestration choreography, orchestration, choreography"
Microservices,What is a service mesh?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: mesh, service mesh, service, zuul spring"
Microservices,What is containerization and how does it help microservices?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: containerization does, help microservices, does help, containerization"
Microservices,How do you scale microservices horizontally?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: scale microservices, horizontally, microservices horizontally, scale"
Microservices,How do you manage database per microservice?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: database microservice, manage database, microservice, manage"
Microservices,What is polyglot persistence in microservices?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: persistence microservices, polyglot persistence, polyglot, persistence"
Microservices,How do you test microservices?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: test microservices, test, microservices, zuul spring"
Microservices,What are contract tests in microservices?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: tests microservices, contract tests, contract, tests"
Microservices,How do you do end-to-end testing in microservices?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: end, testing microservices, end testing, end end"
Microservices,How do you handle inter-service communication failures?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: handle inter, communication failures, failures, inter service"
Microservices,What is a fallback mechanism in microservices?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: mechanism microservices, fallback, fallback mechanism, mechanism"
Microservices,What are bulkheads in microservices?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: bulkheads microservices, bulkheads, microservices, zuul spring"
Microservices,What is the strangler pattern?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: strangler pattern, strangler, pattern, zuul spring"
Microservices,How do you migrate from monolith to microservices?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: migrate monolith, migrate, monolith microservices, monolith"
Microservices,What are some common pitfalls when migrating to microservices?,"API Gateway; service discovery; Saga/CQRS; idempotency; observability; eventual consistency | keywords: migrating microservices, pitfalls migrating, common pitfalls, pitfalls"
Cloud (AWS),What is AWS EC2?,"keywords: aws ec2, ec2, aws, does relate"
Cloud (AWS),What is AWS S3?,"keywords: aws s3, aws, zuul spring"
Cloud (AWS),What is AWS Lambda?,"keywords: aws lambda, lambda, aws, zuul spring"
Cloud (AWS),What is the difference between EC2 and Lambda?,"keywords: difference ec2, ec2 lambda, ec2, lambda"
